measure,hybrid,hybrid1,ggmr,ggmr2,ggmr1,rc3,rc2,rc1,measure,hybrid,hybrid1,ggmr,ggmr2,ggmr1,rc3,rc2,rc1
12092.89668,11022.47668,16031.34092,1795.580836,8170.94109,9036.750566,22160,11820,-39730,73974.82496,78815.67014,72193.27486,73653.64948,65132.57773,65494.50943,70440,57900,39730
28422.0373,22608.97531,23478.49037,24710.4016,21737.25504,28992.93229,28354,37752,37552.3,83905.7159,83245.09013,84488.34409,81248.07865,74957.85131,83696.17637,82574,74752,43927.7
-46380.72758,-43008.22709,-43851.80131,-45987.25793,-43511.3941,-44208.09321,-40570,-38860,-34550,46380.72758,43008.22709,43851.80131,45987.25793,43511.3941,44208.09321,40570,38860,34550
-33467.20492,-36807.05333,-36011.81539,-40655.44072,-36906.28616,-38951.05663,-29350,-28626,-38200,33467.20492,36807.05333,36011.81539,40655.44072,36906.28616,38951.05663,29350,28626,38200
70655.75121,63709.7899,64328.13311,75447.26588,66214.41467,56505.35249,73100,70292,29200,97228.82016,98063.26449,97540.8462,108486.5396,99682.52564,88343.82622,104220,86368,40780
-37851.19081,-39386.60954,-38288.06863,-38283.4386,-39012.5667,-36973.53682,-40210,-37940,-24209.6,37851.19081,39386.60954,38288.06863,38283.4386,39012.5667,36973.53682,40210,37940,26229.6
74877.36726,75106.42961,77510.00443,71628.03225,65133.44897,64870.57339,75840,62230,-13842,106622.8667,107682.4692,103454.4488,106548.3185,93463.72983,92425.74722,104140,89470,36398
-18300.98347,-20486.98112,-19936.46131,-20058.49257,-24641.32278,-19571.4659,-28120,-15029,20860,44449.84291,43457.84266,44533.93521,40383.93293,41153.41676,41349.18868,49460,43971,40900
108695.6421,110366.9581,107131.4071,111210.6004,104906.8791,98627.96667,105490,96750,18798.4,121325.3833,124682.5941,121870.5645,127425.7487,125151.6984,115784.8701,118810,105530,44061.6
-38965.83787,-39503.52439,-39862.81376,-37381.93577,-39445.67828,-39829.8736,-43476.4,-34690,-2455,38965.83787,39503.52439,39862.81376,37381.93577,39445.67828,39829.8736,43476.4,35576,33309
122611.1769,124085.6239,120142.0195,118057.4873,112410.2356,107664.1868,114108,108590,36429,134547.5549,138139.0884,134756.9019,131810.2072,127005.8517,123580.4179,129148,112270,51211
9129.281265,10754.45628,10500.14352,9504.552958,8758.793471,3984.032094,7522,1544,-19065,76095.87252,76103.47436,75256.08946,70683.16532,69111.35537,70049.19957,75582,60384,30275
63508.55233,62466.45636,62418.94377,62384.85459,60373.29103,59050.48809,58304,66912,44187,105139.5962,105332.2028,107439.9295,102327.2535,101579.0123,102346.6811,102804,93868,45293
59382.01775,65680.64118,64186.57516,59619.62885,53463.64324,54484.05703,62479,50753,-21146,106480.9759,110535.4818,108210.8846,102717.2633,94129.47644,100404.7955,104139,89393,34414
19251.7979,15312.95759,15038.53543,14683.51533,15212.22169,13888.96003,14740,27060,33289,82786.68047,81716.29803,83286.39281,82722.73304,81212.24798,83285.65032,79760,71420,43877
85080.33742,87939.33113,94936.90355,83836.50054,82788.65346,76555.85144,91940,78880,-15990,114576.0636,117509.6469,122681.46,113032.2006,114516.7206,109469.6713,118040,103400,40590
-4783.327955,-8767.901804,-8774.49817,-7885.648671,-6378.116501,-5756.8846,-8860,4710,22877.2,73040.10123,71628.15865,72397.04015,72302.99179,69556.56724,71031.46635,70940,62050,42890.8
42887.58167,51843.27237,54911.40236,41709.34369,35208.72674,40425.49333,51900,39790,-39327.9,99023.66525,101437.6706,97666.9539,92332.27787,82302.5165,86186.10384,96680,82010,43407.9
39961.99884,37831.1937,38802.65803,38236.96741,38848.14328,38365.08071,38007,49386,38429,95703.12872,96881.341,98187.85025,94111.56463,92179.40156,93149.53791,94433,86314,43769
84288.96726,90747.664,88809.94852,88449.92852,86795.37659,88272.27313,89844,77469,-14470.2,117798.5931,122565.9356,122106.6453,121290.1889,113747.8481,119211.0944,116956,102191,38008.2
-18842.21629,-18345.37475,-17656.65809,-17364.89065,-15421.45718,-15323.1163,-19258,-5988,11960.2,67035.34245,65307.67231,67001.49761,66169.93567,64291.50154,65191.06786,62518,55428,40459.8
75323.51864,84339.68812,84902.41029,83723.77723,79138.10639,82851.77806,83620,70920,-24350,109585.0193,113605.087,113760.6128,113879.1234,111749.1568,116262.9071,111300,96980,43810
-35115.77085,-35265.7377,-35273.0384,-34814.6485,-38336.40893,-38791.28133,-33180,-20050,3128.6,50782.26697,50127.13445,51429.09024,48953.47011,53635.35701,54743.48899,46060,38790,33771.4
2448.712837,10732.54842,7843.49012,4092.380977,648.664868,3878.318001,13254,4612,-44570,69327.5366,70751.9457,68157.3892,66886.94007,71121.37353,68540.81224,64454,53652,44570
27204.99484,25252.62835,25460.89353,26679.10194,18603.66706,27469.77378,27604,35912,28519,76009.56782,77931.75083,78726.5751,76311.03912,72665.48912,78184.1696,74144,67252,35001
-34222.00529,-34127.00702,-34986.99409,-37414.51825,-39929.66141,-38568.72611,-27540,-26320,-32670,34222.00529,34127.00702,34986.99409,37414.51825,39929.66141,38568.72611,27540,26320,32670
-29473.78434,-30078.5869,-30118.54643,-33077.34377,-31156.99241,-32798.20786,-26670,-25360,-31640,29473.78434,30078.5869,30118.54643,33077.34377,31156.99241,32798.20786,26670,25360,31640
16219.43127,32048.09955,27678.87374,29556.91188,25953.82859,16294.8119,27481,16663,-22322,68511.29899,73478.85514,69336.93848,71005.92566,64910.28245,57771.40065,72059,59557,23270
11883.71751,7364.632683,7208.369621,10105.89853,2948.164962,10508.43254,5902,15937.9,31617,60659.03465,62633.07614,62369.01398,61353.46317,56922.87886,61226.30334,64138,57837.9,38023
-38225.66541,-33372.22437,-33076.24089,-32386.53167,-34816.17253,-31548.54469,-39380,-37820,-32690,38225.66541,33372.22437,33076.24089,32386.53167,34816.17253,31548.54469,39380,37820,32690
44366.46379,51365.31846,55030.24555,53898.66715,42046.82205,53412.4413,46309,36644,-20770,82381.48724,83750.228,82545.14745,84904.11939,72980.86897,81382.0099,79769,69324,39150
-27166.96227,-26131.26993,-27140.95173,-21828.11024,-20203.72399,-26377.4478,-37685,-27645,3598,43520.97036,41790.78262,41567.00706,37827.67123,33956.78335,31211.80847,51375,45205,30068
72722.67549,77445.96317,77959.62872,71112.78161,70431.63563,66500.18072,66960,62700,14976,90539.475,95687.50442,96591.32409,89060.55264,84228.82903,80767.96464,85540,71360,34026
