measured,hybrid_predicted,ggmr_predicted,rc_model3_predicted,rc_model2_predicted,rc_model1_predicted
-5396.237552,-5319.881604,-5048.856587,-5.25E+03,-4.02E+03,5.14E+02
-5396.237552,-5276.447899,-5057.986634,-5.21E+03,-4.35E+03,-1.56E+03
-5222.165373,-5065.377721,-5003.525033,-5.02E+03,-4.44E+03,-1.56E+03
-5396.237552,-4946.992164,-5009.969149,-4.89E+03,-4.43E+03,-3.12E+03
-5266.049116,-4778.718293,-4992.864556,-4.76E+03,-4.36E+03,-5.19E+03
-4680.932547,-4547.963345,-5027.910986,-4.52E+03,-4.22E+03,-3.63E+03
-3498.997079,-3378.439162,-3324.09692,-1.02E+03,-7.78E+02,-5.19E+03
8434.455333,9766.237012,3617.18447,8.91E+03,5.17E+03,-5.19E+03
11895.41984,13536.2037,13362.3215,1.34E+04,9.36E+03,-4.15E+03
12942.77849,13770.0341,13351.8257,1.36E+04,1.14E+04,-3.64E+03
13235.33678,13925.33132,13357.93004,1.38E+04,1.24E+04,-5.24E+02
13349.43451,13971.51622,13364.81523,1.38E+04,1.29E+04,-5.24E+02
13178.28791,13915.07901,13371.57556,1.38E+04,1.31E+04,2.07E+03
13178.28791,13543.12998,13279.22403,1.36E+04,1.31E+04,3.62E+03
13007.14132,13194.39314,13182.23547,1.33E+04,1.30E+04,3.10E+03
12945.70408,12938.74326,13176.93422,1.31E+04,1.28E+04,4.66E+03
10941.67983,13098.64359,12608.46887,1.03E+04,1.01E+04,4.66E+03
2457.489587,1636.929981,1948.008826,1.88E+03,4.66E+03,4.14E+03
-3686.234381,-4349.085018,-4454.855443,-3.95E+03,1.51E+02,4.66E+03
-4563.909234,-4938.354202,-5054.056559,-4.74E+03,-2.26E+03,3.62E+03
-5266.049116,-5260.362551,-5015.745278,-5.21E+03,-3.62E+03,1.55E+03
-5570.309731,-5477.645135,-5031.927368,-5.51E+03,-4.34E+03,-5.25E+02
-5570.309731,-5395.803956,-5047.650664,-5.37E+03,-4.58E+03,-1.56E+03
-5570.309731,-5123.002432,-4993.884978,-5.06E+03,-4.57E+03,-2.08E+03
-5396.237552,-5016.267543,-5017.208748,-4.93E+03,-4.53E+03,-4.15E+03
-5441.584086,-4767.514532,-4957.684969,-4.76E+03,-4.39E+03,-4.67E+03
-4680.932547,-4482.477111,-5079.728958,-4.43E+03,-4.22E+03,-5.19E+03
-3510.69941,-3352.193839,-3341.746114,-1.00E+03,-7.56E+02,-5.19E+03
8525.148402,9805.949419,1838.336329,9.05E+03,5.26E+03,-5.19E+03
11895.41984,13515.0421,13342.76604,1.35E+04,9.43E+03,-3.64E+03
12778.94585,13689.48775,13432.69054,1.36E+04,1.14E+04,-4.67E+03
13121.23905,13912.24375,13428.99679,1.38E+04,1.24E+04,-5.26E+02
13349.43451,13888.80747,13424.91035,1.38E+04,1.29E+04,-5.26E+02
13007.14132,13774.74453,13426.3497,1.37E+04,1.31E+04,1.55E+03
13007.14132,13545.22554,13331.0905,1.36E+04,1.31E+04,4.14E+03
13290.92285,13381.58736,13233.44123,1.36E+04,1.31E+04,3.10E+03
12872.5645,11826.63457,13123.90356,1.21E+04,1.18E+04,5.18E+03
7741.0922,6976.29978,6641.6881,5.86E+03,7.03E+03,3.10E+03
-3510.69941,-3585.559083,-3960.888223,-2.68E+03,1.67E+03,5.70E+03
-4212.839292,-4758.789269,-5143.322782,-4.43E+03,-1.37E+03,4.14E+03
-4739.444204,-4898.983006,-5088.33244,-4.61E+03,-2.87E+03,2.58E+03
-4874.021015,-5002.88555,-5096.232082,-4.71E+03,-3.58E+03,-8.25E+00
-4874.021015,-4969.713953,-5132.014765,-4.61E+03,-3.88E+03,-5.27E+02
-4874.021015,-4870.145189,-5135.382084,-4.53E+03,-3.98E+03,-2.08E+03
-4874.021015,-4728.539164,-5292.154912,-4.37E+03,-3.94E+03,-2.08E+03
-4874.021015,-4412.880223,-4176.509244,-4.18E+03,-3.87E+03,-3.64E+03
-4874.021015,-4324.605471,-4178.89881,-4.07E+03,-3.77E+03,-3.12E+03
-4660.453467,-4153.840908,-4147.672829,-3.85E+03,-3.64E+03,-4.16E+03
-4525.876657,-3999.211957,-4052.147414,-3.72E+03,-3.50E+03,-3.64E+03
-4351.804477,-3790.277638,-3908.211398,-3.54E+03,-3.39E+03,-4.16E+03
-4388.374263,-3669.049066,-3825.389556,-3.43E+03,-3.25E+03,-5.71E+03
-3993.420579,-3485.376795,-3719.589497,-3.17E+03,-3.08E+03,-4.68E+03
-3085.027107,-3515.783785,-3705.269558,-3.29E+03,-3.19E+03,-4.16E+03
-2545.257073,-3846.53869,-3824.344492,-4.01E+03,-3.61E+03,-5.71E+03
-3481.443582,-3976.653636,-3835.021047,-4.38E+03,-3.86E+03,-4.16E+03
-4923.755923,-3177.840335,-3219.700271,-4.13E+02,-1.68E+02,-3.64E+03
7422.20367,13161.98792,9167.38094,1.02E+04,5.95E+03,-4.16E+03
11980.26174,15818.27211,11816.99977,1.42E+04,1.01E+04,-3.12E+03
13314.32751,14610.27915,13906.27959,1.44E+04,1.20E+04,-2.08E+03
13340.65776,14439.20085,13919.01584,1.44E+04,1.30E+04,-9.69E+00
13574.70439,14363.31779,13867.84201,1.45E+04,1.34E+04,2.58E+03
13520.5811,14049.025,13641.82483,1.43E+04,1.36E+04,3.62E+03
13106.61113,14312.47916,13228.59134,1.23E+04,1.17E+04,3.10E+03
4373.746349,4120.236787,4185.233815,4.70E+03,6.48E+03,5.69E+03
-2984.094499,-3370.441213,-3522.980354,-2.79E+03,1.47E+03,5.69E+03
-3861.769351,-4091.997234,-3945.114438,-3.85E+03,-1.24E+03,4.66E+03
-4388.374263,-4350.540554,-4104.178409,-4.21E+03,-2.65E+03,2.58E+03
-4525.876657,-4476.124581,-4188.890341,-4.37E+03,-3.36E+03,1.55E+03
-4525.876657,-4515.020533,-4246.294497,-4.34E+03,-3.67E+03,-1.01E+01
-4699.948836,-4500.794324,-4272.970051,-4.23E+03,-3.77E+03,-5.29E+02
-4699.948836,-4426.907233,-4230.241478,-4.14E+03,-3.78E+03,-2.60E+03
-4525.876657,-4358.700671,-4220.981201,-4.00E+03,-3.73E+03,-3.12E+03
-4487.84408,-4271.271985,-4193.533751,-3.88E+03,-3.64E+03,-2.60E+03
-4525.876657,-4177.985876,-4179.046535,-3.70E+03,-3.52E+03,-2.60E+03
-4315.234692,-4071.531386,-4126.40929,-3.59E+03,-3.44E+03,-3.64E+03
-4315.234692,-3984.714589,-4067.531316,-3.54E+03,-3.36E+03,-4.16E+03
-4315.234692,-3833.02807,-3968.907105,-3.38E+03,-3.26E+03,-4.16E+03
-4315.234692,-3711.192008,-3876.766446,-3.28E+03,-3.16E+03,-3.12E+03
-4142.625304,-3569.850408,-3752.882702,-3.18E+03,-3.09E+03,-4.16E+03
-4177.732298,-3491.424266,-3655.213487,-3.18E+03,-3.06E+03,-4.68E+03
-3861.769351,-3296.904081,-3457.301858,-3.06E+03,-2.93E+03,-4.68E+03
-3721.341375,-3102.960846,-3310.82574,-2.75E+03,-2.75E+03,-5.20E+03
-2808.559528,-3144.519954,-3318.793756,-2.77E+03,-2.77E+03,-2.60E+03
-2062.535904,-3399.664798,-3428.576761,-3.27E+03,-3.06E+03,-4.16E+03
-2989.945665,-3524.729651,-3471.745963,-3.57E+03,-3.20E+03,-3.12E+03
-3317.610943,-3356.018159,-3398.655602,-3.18E+03,-3.09E+03,-2.60E+03
-3396.60168,-3362.165768,-3451.124657,-2.98E+03,-2.98E+03,-3.12E+03
-3396.60168,-3363.562839,-3455.363598,-2.97E+03,-2.91E+03,-2.60E+03
-3357.106311,-3329.642727,-3446.471329,-2.86E+03,-2.83E+03,-3.12E+03
-3270.801617,-3291.412816,-3416.719864,-2.82E+03,-2.79E+03,-2.09E+03
-4247.946287,-2748.337222,-4054.850994,1.67E+02,2.28E+02,-3.64E+03
6178.830962,10472.57179,10889.58577,9.64E+03,6.09E+03,-2.60E+03
13209.00653,19276.58718,11687.33743,1.50E+04,1.05E+04,-2.60E+03
14481.63507,15299.54141,14313.70492,1.53E+04,1.27E+04,-2.60E+03
14507.96531,15212.96176,14322.29452,1.53E+04,1.37E+04,1.54E+03
14592.80722,14870.91152,14188.30271,1.52E+04,1.41E+04,4.14E+03
14499.18856,14502.87993,14097.51701,1.50E+04,1.42E+04,2.58E+03
13712.20678,12559.06534,11959.20329,1.16E+04,1.11E+04,5.69E+03
702.1398821,298.4131066,1153.292656,2.21E+03,5.33E+03,6.73E+03
-2808.559528,-3704.687684,-3718.545252,-2.96E+03,8.98E+02,6.21E+03
-3510.69941,-3971.494892,-3775.166941,-3.69E+03,-1.42E+03,6.21E+03
-3861.769351,-4101.889581,-3833.556579,-3.98E+03,-2.63E+03,4.14E+03
-4003.660119,-4104.838451,-3803.531506,-4.17E+03,-3.28E+03,1.02E+03
-3829.58794,-4140.30582,-3841.464283,-4.21E+03,-3.57E+03,1.02E+03
-4003.660119,-4016.885992,-3775.13173,-4.05E+03,-3.66E+03,-1.22E+01
-3797.406529,-3975.730174,-3743.455585,-4.02E+03,-3.68E+03,-2.60E+03
-4003.660119,-3926.710676,-3721.453364,-3.95E+03,-3.68E+03,-2.09E+03
-3970.015917,-3776.665098,-3620.982892,-3.84E+03,-3.60E+03,-2.60E+03
-3829.58794,-3551.889733,-3478.048031,-3.62E+03,-3.47E+03,-3.64E+03
-3797.406529,-3456.373032,-3440.508616,-3.47E+03,-3.35E+03,-2.61E+03
-3797.406529,-3359.116267,-3387.265599,-3.38E+03,-3.26E+03,-3.64E+03
-3797.406529,-3236.700965,-3315.375041,-3.26E+03,-3.14E+03,-4.16E+03
-3481.443582,-3068.483816,-3221.399834,-3.04E+03,-2.98E+03,-3.64E+03
-3335.16444,-2968.454942,-3177.751331,-2.83E+03,-2.80E+03,-3.12E+03
-2979.706125,-2881.51394,-3114.73787,-2.72E+03,-2.72E+03,-5.20E+03
-2075.701026,-1480.246924,-3342.065344,-5.19E+02,-3.97E+02,-3.12E+03
5331.87473,7813.281279,9424.083986,7.84E+03,5.15E+03,-3.64E+03
14130.56513,15454.81022,13799.70954,1.46E+04,9.94E+03,-4.68E+03
14450.91645,15432.55109,15376.01093,1.50E+04,1.23E+04,-2.09E+03
14507.96531,15243.0601,15286.14682,1.49E+04,1.33E+04,5.05E+02
14718.60728,14988.95074,15011.93224,1.48E+04,1.37E+04,2.06E+03
14718.60728,14683.03287,14844.15257,1.46E+04,1.39E+04,3.62E+03
14671.79795,13541.13457,14758.16831,1.36E+04,1.30E+04,5.69E+03
9704.158287,8340.334176,7655.410201,7.80E+03,8.44E+03,5.69E+03
-2106.419646,-3368.382955,-1857.758177,-1.34E+03,2.82E+03,7.76E+03
-3335.16444,-3713.411791,-3569.879463,-3.85E+03,-6.39E+02,5.17E+03
-3861.769351,-3926.506172,-3657.957963,-4.30E+03,-2.44E+03,4.13E+03
-3655.515761,-4051.8002,-3713.945571,-4.54E+03,-3.35E+03,2.58E+03
-3829.58794,-4026.434248,-3707.899524,-4.52E+03,-3.75E+03,5.05E+02
-4003.660119,-3993.90653,-3707.619958,-4.41E+03,-3.89E+03,5.05E+02
-4003.660119,-3880.818352,-3617.74277,-4.32E+03,-3.95E+03,-2.09E+03
-4003.660119,-3835.058824,-3579.724731,-4.31E+03,-3.95E+03,-2.09E+03
-4003.660119,-3681.811438,-3493.100975,-4.11E+03,-3.87E+03,-3.12E+03
-3829.58794,-3601.708392,-3460.825577,-3.99E+03,-3.78E+03,-2.09E+03
-3861.769351,-3456.503639,-3374.612316,-3.84E+03,-3.65E+03,-4.16E+03
-3604.318061,-3239.516575,-3237.962951,-3.59E+03,-3.47E+03,-4.16E+03
-2501.37333,-2522.78706,-2837.001475,-2.27E+03,-2.21E+03,-4.68E+03
-380.3257695,5799.685617,5590.647857,4.28E+03,3.05E+03,-2.61E+03
15518.75419,16213.81612,12608.48422,1.38E+04,8.67E+03,-5.20E+03
14190.53958,15256.90106,14945.76303,1.46E+04,1.16E+04,-2.61E+03
14674.72354,15419.59768,15072.06987,1.48E+04,1.29E+04,-1.43E+01
14592.80722,15306.5774,15106.32893,1.47E+04,1.35E+04,1.02E+03
14718.60728,15158.17803,15006.84901,1.47E+04,1.38E+04,3.62E+03
14547.46068,14877.97467,14911.04756,1.45E+04,1.38E+04,4.65E+03
14499.18856,14377.02994,14804.49894,1.41E+04,1.36E+04,5.69E+03
13644.91838,12722.59027,11050.22608,1.05E+04,1.03E+04,5.69E+03
175.5349705,258.8542742,-11.50939602,1.03E+03,4.43E+03,6.73E+03
-2984.094499,-3608.601173,-3500.285677,-3.96E+03,1.53E+01,6.21E+03
-3861.769351,-3886.272988,-3600.389173,-4.61E+03,-2.25E+03,4.65E+03
-4212.839292,-3990.294046,-3653.521381,-4.76E+03,-3.35E+03,3.61E+03
-4351.804477,-4009.795343,-3653.889127,-4.77E+03,-3.88E+03,1.54E+03
-4177.732298,-4023.138628,-3650.871962,-4.75E+03,-4.11E+03,-1.05E+03
-4315.234692,-3981.272978,-3641.661244,-4.60E+03,-4.14E+03,-2.09E+03
-4177.732298,-3875.24702,-3583.512361,-4.44E+03,-4.10E+03,-1.05E+03
-4177.732298,-3819.560683,-3573.65121,-4.34E+03,-4.04E+03,-2.61E+03
-3797.406529,-3654.045642,-3505.813442,-4.09E+03,-3.85E+03,-3.64E+03
-3199.124838,-3356.089947,-3402.086398,-3.49E+03,-3.39E+03,-3.64E+03
-2621.322226,-2510.520635,-2696.789985,1.56E+03,1.41E+03,-3.64E+03
15213.03078,15535.46849,12068.40086,1.28E+04,7.52E+03,-4.16E+03
13902.36967,14868.44911,14835.45773,1.42E+04,1.08E+04,-3.13E+03
14215.40703,15109.94892,14845.18241,1.44E+04,1.24E+04,-2.09E+03
14467.00715,15269.34865,14854.20171,1.45E+04,1.33E+04,1.02E+03
14547.46068,15218.95337,14702.65819,1.45E+04,1.36E+04,2.58E+03
14547.46068,14866.63444,14497.60246,1.42E+04,1.36E+04,3.10E+03
14376.31409,14605.14261,14346.84621,1.41E+04,1.36E+04,5.17E+03
14205.16749,14424.58033,14292.61891,1.40E+04,1.35E+04,4.65E+03
14034.02089,13791.97011,14234.17769,1.35E+04,1.31E+04,6.21E+03
11776.93373,11692.52492,10646.0465,9.46E+03,9.49E+03,5.69E+03
-171.1465963,-846.79843,-609.6969576,-8.73E+01,3.65E+03,7.24E+03
-3510.69941,-3959.753298,-3707.494393,-4.41E+03,-5.21E+02,5.17E+03
-4388.374263,-4527.773641,-4296.88758,-4.94E+03,-2.65E+03,5.17E+03
-4351.804477,-4708.623295,-4351.714024,-5.07E+03,-3.66E+03,2.58E+03
-4525.876657,-4655.696063,-4361.59806,-5.00E+03,-4.11E+03,-5.34E+02
-4699.948836,-4588.261256,-4388.436269,-4.94E+03,-4.30E+03,5.03E+02
-4351.804477,-4377.375709,-4325.295995,-4.81E+03,-4.32E+03,-3.13E+03
-4388.374263,-4056.123256,-3800.860164,-4.59E+03,-4.22E+03,-2.09E+03
-4002.197328,-3881.738945,-3692.610434,-4.32E+03,-4.04E+03,-3.13E+03
-3083.564315,-2966.678352,-3094.149542,-8.04E+02,-6.20E+02,-3.65E+03
9930.890957,9111.922878,4127.441681,9.14E+03,5.43E+03,-3.65E+03
13112.4623,14312.59747,14136.20123,1.39E+04,9.70E+03,-4.68E+03
13884.81617,14375.00631,14141.47711,1.40E+04,1.17E+04,-2.61E+03
14130.56513,14627.87559,14136.83215,1.42E+04,1.28E+04,5.02E+02
14376.31409,14690.78618,14136.1242,1.42E+04,1.32E+04,5.02E+02
14205.16749,14493.89465,14016.62444,1.40E+04,1.34E+04,2.06E+03
14205.16749,14351.4854,13898.12359,1.40E+04,1.34E+04,5.17E+03
14034.02089,14058.44632,13783.39389,1.38E+04,1.34E+04,5.17E+03
14153.96979,13859.79279,13669.82394,1.37E+04,1.33E+04,5.17E+03
13516.19273,12799.52696,13555.40611,1.27E+04,1.24E+04,5.17E+03
10426.77725,8707.538465,8325.247424,7.24E+03,7.95E+03,7.76E+03
-2984.094499,-3267.04406,-1631.317145,-1.99E+03,2.29E+03,5.69E+03
-3686.234381,-4314.503663,-4315.027852,-4.55E+03,-1.12E+03,4.65E+03
-4037.304322,-4568.957685,-4654.821263,-4.67E+03,-2.78E+03,5.17E+03
-4351.804477,-4776.206886,-4584.298875,-4.85E+03,-3.62E+03,1.02E+03
-4351.804477,-4791.818997,-4595.89548,-4.88E+03,-4.02E+03,1.02E+03
-4351.804477,-4623.245026,-4610.286494,-4.77E+03,-4.15E+03,-2.09E+03
-4525.876657,-4441.572264,-4699.2626,-4.59E+03,-4.13E+03,-1.05E+03
-4351.804477,-4208.083052,-4512.491607,-4.38E+03,-4.04E+03,-3.13E+03
-4351.804477,-4119.746278,-3973.643585,-4.27E+03,-3.96E+03,-3.65E+03
-4525.876657,-4074.73603,-3965.620192,-4.17E+03,-3.90E+03,-3.65E+03
-4388.374263,-3958.297458,-3903.852162,-4.05E+03,-3.77E+03,-4.68E+03
-3727.192541,-3804.44989,-3829.316036,-3.83E+03,-3.68E+03,-4.17E+03
-3633.57389,-2862.00086,-2997.427563,4.84E+02,7.29E+02,-6.24E+03
13479.62294,15562.07186,10945.08295,1.20E+04,6.95E+03,-3.13E+03
13147.56929,14570.31721,13808.29792,1.41E+04,1.05E+04,-5.20E+03
13884.81617,14829.57671,13802.07153,1.44E+04,1.23E+04,-1.05E+03
14083.7558,14964.17689,13804.25589,1.46E+04,1.32E+04,-1.57E+03
