hybrid_predicted,measured
16590,8867.4
79949,85556
-6013.5,-9127.8
1.36E+05,1.45E+05
18760,16129
82629,94017
-31377,-34877
1.36E+05,1.41E+05
-14729,-17101
1.19E+05,1.19E+05
-14999,-22158
1.22E+05,1.24E+05
-31770,-32587
1.27E+05,1.29E+05
-55787,-59834
1.20E+05,1.16E+05
-52180,-52934
-44963,-44087
17571,20148
22390,20529
-40066,-42908
-35784,-36552
-29219,-28422
1499.3,-659.72
21891,25507
25344,13371
25940,25148
44680,36217
45089,51938
42372,46477
42531,49676
33194,41023
39794,33239
38981,34573
35146,38768
34315,32181
32466,31292
30247,34436
28816,36121
21683,27818
8456.8,15583
-44393,-48032
-23233,-29390
-19828,-9791.9
-9635.8,-11736
-15322,-5584.9
23369,29101
-13627,-10431
78853,73821
62831,77506
1.00E+05,1.07E+05
1.10E+05,99217
1.25E+05,1.09E+05
81358,89510
87600,92286
80386,93374
89531,79267
76803,78921
79726,83101
76946,76445
58577,59953
-74496,-86104
-60866,-72983
-48712,-60665
1.15E+05,1.03E+05
-48846,-52491
73429,65186
645.78,5122.7
5802.4,-3291.3
73265,73922
-373.34,-7629.9
32453,30660
-35566,-37771
44911,43800
-11055,-13484
1.20E+05,1.22E+05
-24266,-28637
1.17E+05,1.18E+05
21105,14643
64886,62768
54357,45809
31665,28739
82756,72901
7815.3,8098
48327,39430
58421,58104
55487,48082
7968.6,9288.7
10211,3798.9
-35222,-35531
2560.1,-3115.7
5347.1,3564.8
-38804,-41295
68215,57429
-39873,-38817
-23134,-30727
72158,76372
75466,69091
33446,34523
1.54E+05,1.64E+05
50302,51446
68741,76842
68031,64556
40899,41004
67909,64761
13530,17091
-4662,-8402.3
86579,85519
-18700,-25385
74996,71057
-21172,-25287
60513,60020
-46438,-43167
74258,74594
-43774,-41371
-38526,-39321
39596,41649
-38564,-41372
15458,21110
-28083,-27104
78470,81401
-37203,-35584
1.18E+05,1.17E+05
47333,48388
35938,41374
97005,94201
-4224.1,-886.45
1.38E+05,1.36E+05
-15518,-15466
98434,97243
37875,34613
57695,58613
79990,75874
14771,15293
87171,82885
-10621,-11192
52772,48812
10126,11929
-42306,-44985
36182,36020
-39797,-43603
-37346,-37651
53819,50060
-37034,-38741
66562,68602
-14992,-17989
50637,48051
49888,48794
61617,58601
75439,67610
1.01E+05,1.23E+05
-39089,-43852
1.15E+05,1.15E+05
-48473,-51868
1.32E+05,1.32E+05
-53010,-59512
1.43E+05,1.41E+05
-55675,-60757
1.17E+05,1.13E+05
-53327,-57020
56208,53741
-21972,-25126
-40885,-45698
-39888,-43031
-36570,-42908
36009,27299
-12953,-6598.7
-34279,-34754
60142,58335
-24868,-21658
82033,83482
36871,36720
55264,60567
25554,34575
17739,13319
56816,55112
49106,55403
42348,49025
25934,30202
34407,37695
33122,39247
19769,23838
31026,34513
23141,24980
24530,26115
23673,27421
34248,35509
4951.3,-1171.7
-46804,-48016
67357,58829
-43353,-43751
47994,41618
2134.5,2201.5
55111,56373
-12270,-13161
75178,76383
-12685,-10415
39318,41646
32811,38665
3153.9,1653
63639,64571
-27891,-30795
58552,59825
-17401,-21788
53322,52492
34141,34996
-3600.2,-3196.2
69225,68362
-20838,-19638
44925,45341
13346,9736.3
12871,14920
43817,43378
-15647,-15372
61778,62770
-26395,-27116
52231,53121
10599,9026.9
16839,17243
63162,62331
-9796.7,-7754.3
65781,68282
13488,14887
18013,19837
52672,50705
-10376,-10073
75335,76485
-15385,-14452
35940,35335
5416.7,3383.4
27917,27438
47496,47630
-14082,-13376
60835,61411
-37573,-38767
64607,63117
-38323,-39520
55783,62060
25136,26503
6225.2,7708.9
46171,44794
-21287,-20437
53235,49704
-21268,-18648
80919,84213
-6693.9,-5944.8
55573,57268
27737,28602
9717.3,10333
50939,49767
-9656.4,-8365.7
73715,73004
-27774,-27490
71791,74558
10349,12258
17221,16996
43035,42007
-22520,-22754
50519,47295
-24942,-23459
55450,56214
-33688,-32060
66908,67364
-34871,-34579
67089,62672
16168,17428
38621,39640
62421,64111
3354.1,6344.1
1.38E+05,1.44E+05
53548,55914
47216,50831
40754,39554
58229,64396
38973,33513
61471,65587
58017,51894
39890,44630
46886,36383
34898,38751
-14300,-23861
75173,79940
-51499,-53272
-42413,-41046
91105,93945
-47662,-42895
-36312,-39055
98021,1.09E+05
-42704,-41776
1.24E+05,1.21E+05
-13909,-23118
1.16E+05,1.18E+05
48028,44867
46900,50538
39770,35604
69148,72354
46793,42163
48442,51354
56360,52476
45172,49634
14052,3693.5
1.03E+05,1.03E+05
-49558,-51068
1.30E+05,1.23E+05
-50877,-53860
81669,80963
-36847,-35057
-44970,-50026
-41209,-46354
46676,48375
-12775,-8096.6
-37068,-35822
89750,1.03E+05
-25062,-18405
83786,86490
34940,31111
55343,57466
51062,45801
51858,58869
-40364,-41678
1.44E+05,1.40E+05
-44457,-45082
1.51E+05,1.57E+05
-48552,-50266
1.04E+05,1.06E+05
11856,14605
21128,15564
55901,56016
-45373,-51764
84557,75903
-43711,-40158
-38134,-44897
-34808,-39667
-34188,-41273
71090,67234
-36545,-32629
51194,52306
-2468.5,-2429.7
75407,82466
-31397,-31773
1.06E+05,88758
86702,93908
-32208,-32806
69026,69290
-37053,-37496
83196,81881
-38434,-45091
89715,87049
40075,57881
-26265,-28511
73292,72809
-35538,-40901
56569,54812
-41903,-45319
51392,50718
-38640,-34437
-36851,-35364
38647,44431
-35702,-32366
-31694,-30150
54398,54113
-13041,-14751
45517,46224
4889.9,1250.7
38274,40594
21842,22208
16839,21620
57620,57382
-22077,-21357
62350,59010
-4076.4,-2701.8
84882,85791
-5656.2,-4176.3
39621,40379
-13746,-16898
35672,37366
19061,19089
1659.7,5053.9
-36966,-43585
38001,32901
-31733,-31466
-31246,-36598
-28425,-32502
62774,60219
-16299,-13940
65194,66813
24194,26541
18335,21093
51250,50561
-3929,-2113.7
88658,89097
-17993,-19161
57563,58045
17585,20520
16931,18765
52992,55320
-20909,-18257
61479,59192
-25068,-22815
61132,62422
-34803,-36971
57571,57140
-22355,-22487
39157,40379
6152.3,2832
19117,19616
16156,11632
42597,49090
80175,84924
-4393.4,801.61
62264,56284
27494,34111
1.15E+05,1.18E+05
-17403,-14640
63438,58948
34529,36056
3616.3,-3298.6
90511,90997
-40359,-43303
1.26E+05,1.23E+05
-44024,-48889
1.53E+05,1.55E+05
-47963,-51215
3509,-2714.9
67401,67796
-42997,-47017
-36012,-36479
-33808,-38183
49104,48154
-33930,-33742
31423,29445
-2458,-5359.7
49188,47032
-21302,-16633
15029,22414
-12206,-7232
97627,95879
1.04E+05,1.12E+05
1.09E+05,90324
72388,82942
-50740,-51691
49061,37050
-4597.7,-5981.4
37665,32145
1.16E+05,1.02E+05
61682,74118
-50052,-54988
64523,60593
-8831.4,-8424.2
-44092,-47906
-44893,-44769
55704,57738
-38412,-36305
-32024,-30470
37744,44978
-29714,-26943
7138.9,7210.1
31981,35720
41893,45904
-15594,-12555
66128,66891
-19507,-18775
95953,87062
78660,84636
-22078,-15244
2887.3,-3889.6
64598,62046
43979,55375
27847,41119
43834,46950
63125,76622
-46860,-47459
1.09E+05,1.12E+05
37968,35136
1.07E+05,1.05E+05
-24352,-15811
-52343,-56534
-48155,-46239
-40518,-37525
-35021,-33290
73043,81069
-35967,-38711
1.02E+05,1.04E+05
-33709,-36851
1.19E+05,1.20E+05
-26947,-22144
1.02E+05,1.10E+05
-44678,-51527
1.36E+05,1.49E+05
-48250,-50711
1.30E+05,1.32E+05
-40602,-42222
80378,82740
1548.5,6096.9
-3564.3,-12023
90683,96756
-43730,-46153
29956,18978
50074,55413
-39170,-40257
1.15E+05,1.14E+05
-43019,-41556
58009,56922
10526,11581
