Timestamp,t_out,t_slab1,t_cav,valve_ht,valve_cl,vfr_water,rc_y,y
1/15/2022 0:00,35.6,71.7,47.6,4.4,0,11.7,1.68E+04,8.22E+03
1/15/2022 0:05,35.7,71.8,47.4,3.8,0,11.6,8.15E+03,7.47E+03
1/15/2022 0:10,36.7,71.8,47.2,4.5,0,11.7,7.93E+03,7.87E+03
1/15/2022 0:15,36.5,71.9,47.2,3.9,0,11.7,7.34E+03,6.85E+03
1/15/2022 0:20,36.5,72,47.1,4.6,0,11.1,6.71E+03,7.14E+03
1/15/2022 0:25,36.7,72.1,46.9,0.1,3.5,9.5,3.15E+03,4.86E+03
1/15/2022 0:30,36.9,72.2,46.8,0,9.9,12,-2.22E+03,0.00E+00
1/15/2022 0:35,36.5,72.2,46.9,0,10,12,-4.10E+03,0.00E+00
1/15/2022 0:40,36.6,72.3,46.8,0,10,12,-4.36E+03,-3.69E+03
1/15/2022 0:45,36.5,72.3,46.9,0,10,11.9,-4.47E+03,-3.83E+03
1/15/2022 0:50,36.4,72.3,47,0,10,11.9,-4.50E+03,-3.83E+03
1/15/2022 0:55,36.1,72.2,47.1,0,10,11.9,-4.52E+03,-4.00E+03
1/15/2022 1:00,38.4,72.2,47,0,10,11.9,-4.29E+03,-3.83E+03
1/15/2022 1:05,40.2,72.1,47,0,10,11.9,-4.16E+03,-4.00E+03
1/15/2022 1:10,39.9,72,46.8,0,10,11.9,-4.07E+03,-4.00E+03
1/15/2022 1:15,38.4,71.9,46.8,0,10,12,-3.98E+03,-3.69E+03
1/15/2022 1:20,36.5,71.8,46.9,0,10,10.4,-3.81E+03,-3.50E+03
1/15/2022 1:25,34.9,71.8,47,0.6,6,5.7,-1.55E+03,-2.92E+03
1/15/2022 1:30,33.9,71.7,47.1,6.3,0,9.6,7.04E+03,5.76E+03
1/15/2022 1:35,33.4,71.6,47.1,5.3,0,10.8,1.38E+04,1.41E+04
1/15/2022 1:40,32.9,71.6,47,4.9,0,11.2,1.04E+04,1.02E+04
1/15/2022 1:45,32.6,71.6,46.9,3.7,0,11.5,8.57E+03,8.41E+03
1/15/2022 1:50,32.4,71.6,47,4.1,0,11.7,8.27E+03,8.39E+03
1/15/2022 1:55,32.3,71.7,46.9,4.3,0,11.7,7.75E+03,8.04E+03
1/15/2022 2:00,32.2,71.8,46.9,3.9,0,11.7,7.41E+03,7.36E+03
1/15/2022 2:05,32.1,71.8,46.8,4.2,0,11.7,7.33E+03,7.53E+03
1/15/2022 2:10,32.2,71.9,46.7,4.2,0,11.8,6.89E+03,7.42E+03
1/15/2022 2:15,32.1,72,46.6,4.2,0,9.8,5.65E+03,6.31E+03
1/15/2022 2:20,32.1,72.1,46.6,0,6,10.3,1.49E+03,2.86E+03
1/15/2022 2:25,32,72.2,46.5,0,10,12,-3.45E+03,0.00E+00
1/15/2022 2:30,32,72.2,46.4,0,10,12,-4.55E+03,0.00E+00
1/15/2022 2:35,31.9,72.2,46.3,0,10,11.9,-4.61E+03,-3.83E+03
1/15/2022 2:40,31.8,72.2,46.3,0,10,11.9,-4.76E+03,-4.00E+03
1/15/2022 2:45,31.9,72.2,46.3,0,10,11.9,-4.72E+03,-4.00E+03
1/15/2022 2:50,31.7,72.1,46.1,0,10,11.9,-4.56E+03,-4.18E+03
1/15/2022 2:55,31.6,72.1,46,0,10,11.9,-4.55E+03,-4.00E+03
1/15/2022 3:00,31.5,72,46,0,10,11.7,-4.26E+03,-3.77E+03
1/15/2022 3:05,31.3,71.9,46,0,10,6.6,-3.22E+03,-2.80E+03
1/15/2022 3:10,31.2,71.8,46,4.7,0,8.6,3.02E+03,-1.51E+03
1/15/2022 3:15,31.1,71.7,46,5.9,0,10.7,1.30E+04,1.63E+04
1/15/2022 3:20,31.1,71.7,45.9,4,0,11.2,1.07E+04,9.99E+03
1/15/2022 3:25,33.4,71.7,45.9,4.6,0,11.5,8.80E+03,9.25E+03
1/15/2022 3:30,36,71.7,45.9,3.9,0,11.6,7.80E+03,7.64E+03
1/15/2022 3:35,36.1,71.8,45.8,3.9,0,11.6,7.75E+03,7.98E+03
1/15/2022 3:40,34.7,71.9,45.8,4.6,0,11.7,7.46E+03,7.87E+03
1/15/2022 3:45,33.2,71.9,45.8,3.8,0,11.7,6.94E+03,7.36E+03
1/15/2022 3:50,31.8,72,45.8,4.2,0,11.8,6.76E+03,7.25E+03
1/15/2022 3:55,31.1,72.1,45.7,3.7,0.2,10.4,5.53E+03,6.54E+03
1/15/2022 4:00,30.3,72.2,45.8,0,6.8,10.9,1.07E+03,1.91E+03
1/15/2022 4:05,29.8,72.2,45.8,0,10,12,-3.75E+03,0.00E+00
1/15/2022 4:10,29.5,72.3,45.9,0,10,12,-4.61E+03,0.00E+00
1/15/2022 4:15,29.3,72.3,45.9,0,10,12,-4.73E+03,-3.86E+03
1/15/2022 4:20,29,72.3,46.1,0,10,11.9,-4.72E+03,-3.83E+03
1/15/2022 4:25,28.6,72.2,46.1,0,10,11.9,-4.51E+03,-3.83E+03
1/15/2022 4:30,28.5,72.2,46.1,0,10,11.9,-4.46E+03,-4.00E+03
1/15/2022 4:35,28.3,72.1,46.1,0,10,11.9,-4.43E+03,-4.00E+03
1/15/2022 4:40,28.1,72,45.9,0,10,12,-4.25E+03,-4.04E+03
1/15/2022 4:45,28,72,45.8,0,10,9.4,-3.72E+03,-3.44E+03
1/15/2022 4:50,27.8,71.9,45.6,3.2,2,7.4,1.17E+03,-3.14E+03
1/15/2022 4:55,27.6,71.8,45.5,5.8,0,10.6,1.17E+04,1.57E+04
1/15/2022 5:00,27.4,71.7,45.4,4.8,0,11.1,1.18E+04,1.09E+04
1/15/2022 5:05,27.3,71.7,45.3,4.3,0,11.4,8.86E+03,9.00E+03
1/15/2022 5:10,27.2,71.7,45.1,3.7,0,11.7,7.84E+03,7.87E+03
1/15/2022 5:15,27,71.8,45,4.4,0,11.7,7.81E+03,8.04E+03
1/15/2022 5:20,27,71.9,44.8,4.2,0,11.7,7.43E+03,7.70E+03
1/15/2022 5:25,26.8,71.9,44.8,3.6,0,11.7,6.99E+03,7.19E+03
1/15/2022 5:30,26.6,72,44.7,4.4,0,11.7,6.87E+03,7.36E+03
1/15/2022 5:35,26.2,72.1,44.8,4.1,0,11.5,6.18E+03,6.56E+03
1/15/2022 5:40,26,72.2,44.8,0.8,2.5,9.5,3.36E+03,5.00E+03
1/15/2022 5:45,25.8,72.3,44.8,0,9.6,12,-2.07E+03,0.00E+00
1/15/2022 5:50,25.6,72.3,44.8,0,10,12,-4.38E+03,0.00E+00
1/15/2022 5:55,25.4,72.3,44.9,0,10,12,-4.40E+03,-3.69E+03
1/15/2022 6:00,25.3,72.3,44.8,0,10,12,-4.64E+03,-4.04E+03
