# measured, modeled
8.215036620335980842e+03,9.065544474774826085e+03
7.466087412784004300e+03,9.272645525173938950e+03
7.872743427821992555e+03,9.107635891665602685e+03
6.845863850279996768e+03,9.223042242433279171e+03
7.144273300163993554e+03,8.179659025074208330e+03
4.863781474824986617e+03,4.276825516303142649e+03
2.808559528320000936e+03,9.675246663915750105e+02
3.335164439880015834e+03,-9.667933014917580294e+02
-3.686234380920014701e+03,-2.188184524360272917e+03
-3.829587940177986184e+03,-2.981666724866867298e+03
-3.829587940178008466e+03,-3.629384433731174795e+03
-4.003660119277002195e+03,-3.993724886782350950e+03
-3.829587940177997552e+03,-4.262073707813957299e+03
-4.003660119276991281e+03,-4.481964987332888995e+03
-4.003660119277013564e+03,-4.699687169527984224e+03
-3.686234380919981049e+03,-4.822357331400766270e+03
-3.498997079032021702e+03,-4.943914308935716690e+03
-2.918268884894997427e+03,-1.082743476071875193e+03
5.757547033056000146e+03,6.721714360742000281e+03
1.406035113865200401e+04,8.847748081996833207e+03
1.015762362742399455e+04,8.870314712824299932e+03
8.411050670750002610e+03,9.034016443952881673e+03
8.386183216592997269e+03,9.058168156376828847e+03
8.043890024078998067e+03,8.989889032976563612e+03
7.359303639051000573e+03,9.154725389101819019e+03
7.530450235307994262e+03,9.132611962650014902e+03
7.422203670154000974e+03,9.018884521061510895e+03
6.307556607351994899e+03,7.331889782797261432e+03
2.862682810896984392e+03,3.161561500393247115e+03
3.159629469359999803e+03,1.896982449001588975e+02
3.861769351440019818e+03,-1.457019811502585071e+03
-3.829587940178008466e+03,-2.579074200916402333e+03
-4.003660119277002195e+03,-3.366967631200568576e+03
-4.003660119277024478e+03,-3.823548375184975157e+03
-4.177732298376006838e+03,-4.276167583022535837e+03
-4.003660119277002195e+03,-4.539447229134377267e+03
-3.765225117654008045e+03,-4.615514809122287261e+03
-2.799782779793992631e+03,-3.394630560439894907e+03
-1.509600746472002356e+03,5.082969913033113698e+03
1.627794293288799963e+04,8.245639380635519046e+03
9.993790988271988681e+03,8.924161374108225573e+03
9.252155737825003598e+03,8.763913099242716271e+03
7.635771217619987510e+03,8.884589396054660028e+03
7.975138827291996677e+03,9.051290436266790493e+03
7.872743427821992555e+03,8.938726040673216630e+03
7.359303639050989659e+03,8.920220268448632851e+03
7.249594282475995897e+03,8.902269898443388229e+03
6.541603234712000813e+03,7.032449340900799143e+03
1.913331178668003304e+03,2.773808619799259759e+03
2.984094498840006054e+03,-5.425047781051398488e+01
3.861769351439997081e+03,-1.697008871274694684e+03
-3.861769351440008450e+03,-2.768946252963585721e+03
-3.829587940177997552e+03,-3.368402376386686228e+03
-3.829587940177997552e+03,-3.823658551258413354e+03
-4.003660119277002195e+03,-4.228544876786516397e+03
-4.003660119277002195e+03,-4.537544273208113736e+03
-4.037304321959990830e+03,-4.658719120750705770e+03
-3.437559839350000857e+03,-4.315666122218681267e+03
-3.139150389466005890e+03,3.339019502131348418e+03
1.566064495322599578e+04,8.047567898694054747e+03
1.087877979797699481e+04,8.775218493277359812e+03
9.004943987676000688e+03,8.617017135095054982e+03
7.872743427822004378e+03,8.786511399787006667e+03
8.043890024078998067e+03,8.909088303957432800e+03
7.701596831564998865e+03,8.799261566735891392e+03
7.188157042793995060e+03,8.876012883688046713e+03
7.359303639051000573e+03,8.813259258847770980e+03
6.560619523185003345e+03,8.149575143886446313e+03
5.002746659819999877e+03,4.529412098988934304e+03
2.281954616760008776e+03,9.448284462643932784e+02
3.510699410399998669e+03,-9.384415729109241511e+02
-3.686234380920003332e+03,-2.201567078854110150e+03
-4.037304321960002198e+03,-3.129423509040490899e+03
-4.177732298376006838e+03,-3.724725842496110999e+03
-4.177732298375985010e+03,-4.083199475854067714e+03
-4.003660119277002195e+03,-4.392700460382591700e+03
-4.037304321960013567e+03,-4.699193109507272311e+03
-3.768150700496001718e+03,-4.771111150389660907e+03
-3.229843457568007580e+03,-3.521093078443373088e+02
8.109715638024008513e+03,7.032952325953570835e+03
1.323387398578699867e+04,8.326657240824359178e+03
8.925953250942011437e+03,8.683091961748868925e+03
8.653874046635994091e+03,8.666789877164199424e+03
7.872743427822004378e+03,8.651807922419116949e+03
7.359303639051000573e+03,8.822990369382263452e+03
7.530450235307994262e+03,8.761455725155065011e+03
6.845863850280007682e+03,8.700610818449320504e+03
6.904375507120008479e+03,8.825296128908797982e+03
6.845863850279996768e+03,8.625322032560812659e+03
5.912602923682001347e+03,8.519811910979486129e+03
6.611817222920008135e+03,8.600262417037039995e+03
6.617668388603990934e+03,8.633329993655221188e+03
6.278300778931992681e+03,8.619834569670994824e+03
6.161277465252010188e+03,7.680256251622544369e+03
2.959227044683017084e+03,3.879826842085618409e+03
2.808559528320012305e+03,7.644875274938458460e+02
3.686234380919992418e+03,-1.023901219093793770e+03
-3.861769351439997081e+03,-2.147445714532310376e+03
-4.037304321960002198e+03,-2.936582191433779371e+03
-4.003660119276991281e+03,-3.579916217830243113e+03
-4.177732298376018662e+03,-3.986117540369232302e+03
-4.177732298376006838e+03,-4.296363405814270664e+03
-4.142625304272018184e+03,-4.603571550398897671e+03
-4.177732298375995924e+03,-4.815253733820311027e+03
-4.177732298375995924e+03,-4.932408501686179079e+03
-4.142625304271996356e+03,-5.048250838629282953e+03
-4.177732298376006838e+03,-5.116357170811257674e+03
-4.003660119276979913e+03,-5.276476519091425871e+03
-3.829587940178008466e+03,-5.249581800770545669e+03
-2.962152627524985746e+03,-3.833832600986366742e+03
-1.228744793639995578e+03,4.697438834639739071e+03
1.643446161493500404e+04,8.144919353042881994e+03
1.048528890572799355e+04,8.364379767747392179e+03
8.411050670749991696e+03,8.629643280266842339e+03
8.386183216592997269e+03,8.755054824341772473e+03
8.043890024079008981e+03,8.602029711882838455e+03
7.359303639051000573e+03,8.775017232156322279e+03
7.594813057831995138e+03,8.159339654620132933e+03
5.371370097911999437e+03,4.309223320216311549e+03
2.457489587279991156e+03,9.134001902444870211e+02
3.335164439880004920e+03,-1.106714087110667606e+03
-3.686234380919992418e+03,-2.321305385452767950e+03
-3.829587940178008466e+03,-3.154107632355786336e+03
-4.003660119277024478e+03,-3.748121307063025597e+03
-4.003660119276991281e+03,-4.151836253928493534e+03
