# measured, modeled
8.215036620335980842e+03,1.374565576475903072e+04
7.466087412784004300e+03,8.336086409691415611e+03
7.872743427821992555e+03,8.024060356034351571e+03
6.845863850279996768e+03,7.510133827348880004e+03
7.144273300163993554e+03,6.797494084509402455e+03
4.863781474824986617e+03,3.504736314927322383e+03
-2.808559528320000936e+03,-1.217649586978353909e+03
-3.335164439880015834e+03,-3.311389779480348807e+03
-3.686234380920014701e+03,-3.952104639003329794e+03
-3.829587940177986184e+03,-4.253741814530098054e+03
-3.829587940178008466e+03,-4.394913489065729664e+03
-4.003660119277002195e+03,-4.443406281696421502e+03
-3.829587940177997552e+03,-4.284397026973289030e+03
-4.003660119276991281e+03,-4.166160528616041120e+03
-4.003660119277013564e+03,-4.077130203583183174e+03
-3.686234380919981049e+03,-3.982364194532121473e+03
-3.498997079032021702e+03,-3.837137331695717876e+03
-2.918268884894997427e+03,-1.565144377717406314e+03
5.757547033056000146e+03,6.075898799089503882e+03
1.406035113865200401e+04,1.195084423878278176e+04
1.015762362742399455e+04,1.005365912766146357e+04
8.411050670750002610e+03,8.740478079692038591e+03
8.386183216592997269e+03,8.386936128169807489e+03
8.043890024078998067e+03,7.881048897213899181e+03
7.359303639051000573e+03,7.550952541437931359e+03
7.530450235307994262e+03,7.401360547417825728e+03
7.422203670154000974e+03,6.996877319920946320e+03
6.307556607351994899e+03,5.766490425009418686e+03
2.862682810896984392e+03,1.974198120014487358e+03
-3.159629469359999803e+03,-2.417546523740151315e+03
-3.861769351440019818e+03,-3.868693540756758011e+03
-3.829587940178008466e+03,-4.287304347508215869e+03
-4.003660119277002195e+03,-4.579560818626559922e+03
-4.003660119277024478e+03,-4.621379852396676142e+03
-4.177732298376006838e+03,-4.541260751052672276e+03
-4.003660119277002195e+03,-4.517776806063957338e+03
-3.765225117654008045e+03,-4.268746419708659232e+03
-2.799782779793992631e+03,-3.263944255749112926e+03
-1.509600746472002356e+03,2.668376102181107854e+03
1.627794293288799963e+04,1.092684103811223031e+04
9.993790988271988681e+03,1.011182583786406758e+04
9.252155737825003598e+03,8.799818575716257328e+03
7.635771217619987510e+03,7.990216952516457241e+03
7.975138827291996677e+03,7.851092201870022109e+03
7.872743427821992555e+03,7.538061083409607818e+03
7.359303639050989659e+03,7.076028930855798535e+03
7.249594282475995897e+03,6.854362643670261605e+03
6.541603234712000813e+03,5.614984798944307840e+03
1.913331178668003304e+03,1.595634212594923156e+03
-2.984094498840006054e+03,-2.699681387033633655e+03
-3.861769351439997081e+03,-3.976160081990208710e+03
-3.861769351440008450e+03,-4.412554564505706367e+03
-3.829587940177997552e+03,-4.555372868733691575e+03
-3.829587940177997552e+03,-4.461241343820824113e+03
-4.003660119277002195e+03,-4.437217297298630001e+03
-4.003660119277002195e+03,-4.409796798476279946e+03
-4.037304321959990830e+03,-4.251099469952961954e+03
-3.437559839350000857e+03,-3.752600380654614128e+03
-3.139150389466005890e+03,1.032518707632028963e+03
1.566064495322599578e+04,9.872660975511964352e+03
1.087877979797699481e+04,1.075456986839360616e+04
9.004943987676000688e+03,8.855371088308100298e+03
7.872743427822004378e+03,8.039806767343361571e+03
8.043890024078998067e+03,7.902262178243443486e+03
7.701596831564998865e+03,7.522366398463651421e+03
7.188157042793995060e+03,7.123581287652516039e+03
7.359303639051000573e+03,6.944976759579381905e+03
6.560619523185003345e+03,6.284063056143866561e+03
5.002746659819999877e+03,3.602351420814979065e+03
-2.281954616760008776e+03,-1.148076361876854207e+03
-3.510699410399998669e+03,-3.529894127096886223e+03
-3.686234380920003332e+03,-4.009362115490963333e+03
-4.037304321960002198e+03,-4.415243181272162474e+03
-4.177732298376006838e+03,-4.595912086300253577e+03
-4.177732298375985010e+03,-4.516651878279917582e+03
-4.003660119277002195e+03,-4.377379378176578030e+03
-4.037304321960013567e+03,-4.324666989988611022e+03
-3.768150700496001718e+03,-4.192120123615473858e+03
-3.229843457568007580e+03,-1.430160131167780492e+03
8.109715638024008513e+03,6.470804061628652562e+03
1.323387398578699867e+04,1.134146488458362728e+04
8.925953250942011437e+03,9.159511790872384154e+03
8.653874046635994091e+03,8.425736504048007191e+03
7.872743427822004378e+03,7.821209095006699499e+03
7.359303639051000573e+03,7.539210364182115882e+03
7.530450235307994262e+03,7.338840853601766867e+03
6.845863850280007682e+03,6.914669885658127896e+03
6.904375507120008479e+03,6.730329977961569966e+03
6.845863850279996768e+03,6.558734578196577786e+03
5.912602923682001347e+03,6.123180339856582577e+03
6.611817222920008135e+03,6.032059489046667295e+03
6.617668388603990934e+03,6.053600874204421416e+03
6.278300778931992681e+03,5.949081292187634972e+03
6.161277465252010188e+03,5.327355937999214802e+03
2.959227044683017084e+03,2.415293910805281484e+03
-2.808559528320012305e+03,-2.004578112797396898e+03
-3.686234380919992418e+03,-3.777051728802369325e+03
-3.861769351439997081e+03,-4.230393622288247570e+03
