# measured, modeled
8.215036620335980842e+03,3.200496998184044969e+03
7.466087412784004300e+03,1.067097564053500037e+03
7.872743427821992555e+03,4.800347249085853036e+03
6.845863850279996768e+03,2.133634938550282641e+03
7.144273300163993554e+03,5.333557661388100314e+03
4.863781474824986617e+03,3.733552914525467713e+03
-2.808559528320000936e+03,2.666894103999607069e+03
-3.335164439880015834e+03,1.600223934851875129e+03
-3.686234380920014701e+03,1.066872863227189328e+03
-3.829587940177986184e+03,1.841208882452605167e-01
-3.829587940178008466e+03,-2.133181065084277179e+03
-4.003660119277002195e+03,-1.599903926173928994e+03
-3.829587940177997552e+03,-3.199952638848554216e+03
-4.003660119276991281e+03,-4.266682436727290224e+03
-4.003660119277013564e+03,-3.200090295012141269e+03
-3.686234380919981049e+03,-3.733485128457984956e+03
-3.498997079032021702e+03,-3.200220437073955054e+03
-2.918268884894997427e+03,-4.266951118541861433e+03
5.757547033056000146e+03,-3.200363081451790549e+03
1.406035113865200401e+04,-4.267154725061088357e+03
1.015762362742399455e+04,1.066023160423399304e+03
8.411050670750002610e+03,2.665929707988824248e+03
8.386183216592997269e+03,1.065853440708024209e+03
8.043890024078998067e+03,4.265758540599473235e+03
7.359303639051000573e+03,1.599032909313084019e+03
7.530450235307994262e+03,4.798941388232294230e+03
7.422203670154000974e+03,3.732222607169393086e+03
6.307556607351994899e+03,3.732161159957150630e+03
2.862682810896984392e+03,3.732138633529355047e+03
-3.159629469359999803e+03,2.665485347066857685e+03
-3.861769351440019818e+03,1.598820070053728841e+03
-3.829587940178008466e+03,-5.345286523113496742e+02
-4.003660119277002195e+03,-1.067902710048788094e+03
-4.003660119277024478e+03,-2.134615812959051254e+03
-4.177732298376006838e+03,-1.601339757790390877e+03
-4.003660119277002195e+03,-3.201389571622963558e+03
-3.765225117654008045e+03,-4.268124465141552719e+03
-2.799782779793992631e+03,-3.734872687671831955e+03
-1.509600746472002356e+03,-4.268285702124548152e+03
1.627794293288799963e+04,-1.601743457119172490e+03
9.993790988271988681e+03,-1.068538837125215196e+03
9.252155737825003598e+03,1.064667143852527261e+03
7.635771217619987510e+03,3.197905262013449828e+03
7.975138827291996677e+03,2.664504339056903063e+03
7.872743427821992555e+03,2.664426444334122607e+03
7.359303639050989659e+03,4.264347926313881544e+03
7.249594282475995897e+03,3.197621731186822672e+03
6.541603234712000813e+03,4.264218093274193961e+03
1.913331178668003304e+03,2.130862971215556172e+03
-2.984094498840006054e+03,2.664185299227852738e+03
-3.861769351439997081e+03,1.597517125894131141e+03
-3.861769351440008450e+03,-5.358294496462553980e+02
-3.829587940177997552e+03,-1.602536645247212391e+03
-3.829587940177997552e+03,-1.069260316666318204e+03
-4.003660119277002195e+03,-2.135978177539802800e+03
-4.003660119277002195e+03,-3.736041074348946040e+03
-4.037304321959990830e+03,-4.269454859273774673e+03
-3.437559839350000857e+03,-2.669541194576358521e+03
-3.139150389466005890e+03,-4.802941075134067432e+03
1.566064495322599578e+04,-1.603054763519352264e+03
1.087877979797699481e+04,-2.669852477608568734e+03
9.004943987676000688e+03,5.299987190285353336e+02
7.872743427822004378e+03,2.663221439578472200e+03
8.043890024078998067e+03,2.663137944206337579e+03
7.701596831564998865e+03,3.196387010700644169e+03
7.188157042793995060e+03,2.662976419600721329e+03
7.359303639051000573e+03,3.729559228729224287e+03
6.560619523185003345e+03,3.729488485835316169e+03
5.002746659819999877e+03,4.796098356042853084e+03
-2.281954616760008776e+03,1.596104579231791377e+03
-3.510699410399998669e+03,2.662748776077231469e+03
-3.686234380920003332e+03,-3.926285199247622870e+00
-4.037304321960002198e+03,-1.070632520591511366e+03
-4.177732298376006838e+03,-5.373501579252152851e+02
-4.177732298375985010e+03,-3.204061605786313976e+03
-4.003660119277002195e+03,-3.737475529374047710e+03
-4.037304321960013567e+03,-2.137563205704267148e+03
-3.768150700496001718e+03,-4.804297770787236914e+03
-3.229843457568007580e+03,-3.204396082092677261e+03
8.109715638024008513e+03,-4.804476609565381295e+03
1.323387398578699867e+04,-5.379704896344657072e+02
8.925953250942011437e+03,-4.759821940822039466e+00
8.653874046635994091e+03,1.061789025718409903e+03
7.872743427822004378e+03,2.128348380422577065e+03
7.359303639051000573e+03,3.194920096635585651e+03
7.530450235307994262e+03,4.261505001960928894e+03
6.845863850280007682e+03,1.594769986321859960e+03
6.904375507120008479e+03,3.728003427638875110e+03
6.845863850279996768e+03,4.261265058149548167e+03
5.912602923682001347e+03,4.261219610674862452e+03
6.611817222920008135e+03,3.194552493522190616e+03
6.617668388603990934e+03,4.261157705646767681e+03
6.278300778931992681e+03,2.661088990027054479e+03
6.161277465252010188e+03,4.794333571868139188e+03
2.959227044683017084e+03,2.660936801626822216e+03
-2.808559528320012305e+03,3.194216543649395135e+03
-3.686234380919992418e+03,1.060881932737371017e+03
-3.861769351439997081e+03,5.275187473268633767e+02
-4.037304321960002198e+03,-5.391880317904470985e+02
-4.003660119276991281e+03,-1.072573935705666827e+03
-4.177732298376018662e+03,-3.205963957358312655e+03
-4.177732298376006838e+03,-3.206043600448498637e+03
-4.142625304272018184e+03,-3.206121148926099522e+03
-4.177732298375995924e+03,-4.272864869095245012e+03
-4.177732298375995924e+03,-4.806288798723500804e+03
-4.142625304271996356e+03,-3.739722137240504253e+03
-4.177732298376006838e+03,-4.806478396660882936e+03
-4.003660119276979913e+03,-4.806579379496582078e+03
-3.829587940178008466e+03,-3.740012242878955021e+03
-2.962152627524985746e+03,-4.806765101120889994e+03
-1.228744793639995578e+03,-3.740194008444444535e+03
1.643446161493500404e+04,-3.206962955786774728e+03
1.048528890572799355e+04,-1.607121061439250070e+03
8.411050670749991696e+03,1.592744639416511973e+03
8.386183216592997269e+03,2.125979525276190543e+03
8.043890024079008981e+03,3.192551936166078576e+03
7.359303639051000573e+03,2.659137197495594592e+03
7.594813057831995138e+03,4.259049692077967848e+03
5.371370097911999437e+03,3.725651540461941295e+03
-2.457489587279991156e+03,4.792297183072178086e+03
-3.335164439880004920e+03,5.256474426636794988e+02
-3.686234380919992418e+03,5.256114175006528058e+02
-3.829587940178008466e+03,-5.410927698977058071e+02
-4.003660119277024478e+03,-2.141141333894235686e+03
-4.003660119276991281e+03,-1.607873935050313321e+03
-4.003660119276991281e+03,-3.741265342548381341e+03
-3.829587940178008466e+03,-2.141347404063849808e+03
-3.829587940177997552e+03,-4.274743568175511427e+03
-3.829587940178008466e+03,-1.608165479731476125e+03
-3.686234380919981049e+03,-4.808226735780908712e+03
-3.194736463464004828e+03,-2.674992144731721964e+03
-2.223442959920003432e+03,-3.741731177521115569e+03
-3.829587940177993460e+03,-2.675148091374760952e+03
1.719072477959200114e+04,-3.741930927984617938e+03
1.045895866014999774e+04,-8.756426037530200546e+00
9.338460431663997952e+03,3.191127259931992739e+03
8.314506436963994929e+03,2.124380029411645410e+03
7.872743427821981641e+03,3.190952494241106706e+03
8.112641220866009462e+03,3.190870779430902530e+03
5.580549271115005467e+03,4.790793144897367711e+03
-2.106419646240015027e+03,3.190778340513970306e+03
-3.159629469360022085e+03,2.124109272027056704e+03
-3.510699410399998669e+03,1.057429874351236776e+03
-3.686234380919992418e+03,5.240684726040775558e+02
-3.655515761078992455e+03,-1.609302142100317042e+03
-3.829587940178008466e+03,-5.426975659189010912e+02
-3.655515761078992455e+03,-1.609412416395969558e+03
-3.655515761078992455e+03,-3.742805189843499647e+03
-3.655515761079003369e+03,-2.676222167823533255e+03
-3.655515761078981541e+03,-3.209625465627617359e+03
-3.655515761078992455e+03,-4.276369479036145094e+03
-3.686234380919992418e+03,-2.676463785186757832e+03
-3.501922661874014011e+03,-2.676526387794192033e+03
-2.922657259157986118e+03,-2.676585513700579213e+03
-2.211740628551998725e+03,-3.743325902755145762e+03
-3.027978241469998920e+03,-2.676745760754265120e+03
-3.605780852764998599e+03,-3.210155387230521683e+03
-6.167128630936002082e+03,-1.610237221225329904e+03
1.760615754315599406e+04,-1.610332513136865600e+03
1.179887560178599779e+04,-1.077136041640231497e+03
9.752430403806991308e+03,2.656066951152733964e+03
8.823557851471998219e+03,3.722647247510960369e+03
8.899623005363988341e+03,4.255905366426447472e+03
7.536301400992003437e+03,4.789169446637045439e+03
1.208265713746012352e+03,4.255788340157762832e+03
-2.457489587280002524e+03,3.189121343273573530e+03
-2.984094498840006054e+03,2.655791499133698835e+03
-3.159629469359988434e+03,1.055779261161437034e+03
-3.335164439880004920e+03,5.224111668259959060e+02
-3.481443581979998726e+03,-1.096282640810608200e+01
-3.481443581979998726e+03,-2.144344566294605556e+03
-3.481443581979998726e+03,-2.677750494831639116e+03
-3.481443581979998726e+03,-1.077827580171573800e+03
-3.481443581979998726e+03,-2.144550738844093758e+03
-3.307371402881004997e+03,-2.677952236067812919e+03
-3.481443581979998726e+03,-3.211358691686053589e+03
-3.481443581979998726e+03,-1.611438307832528153e+03
-3.307371402881004997e+03,-4.278168965114536149e+03
-3.307371402881015911e+03,-2.678265642688395474e+03
-3.481443581979998726e+03,-2.678342462089681703e+03
-3.510699410399998669e+03,-3.211751717793863008e+03
-3.335164439879998554e+03,-3.211833153320304973e+03
-2.567198943855005837e+03,-3.745247507541159393e+03
-2.567198943854999925e+03,-3.745334596022485130e+03
4.037304321960002653e+03,-2.145426627014505357e+03
1.580838688674699733e+04,-1.612221647962259567e+03
1.130445210148799561e+04,5.209695222339247493e+02
1.009326080489998458e+04,1.587518086227690901e+03
8.899623005364001074e+03,4.787412653230206161e+03
8.975688159256002109e+03,4.254012111144310438e+03
6.357291515665991028e+03,5.853942949356580357e+03
-1.930884675719987399e+03,3.187267204635164489e+03
-2.808559528319990022e+03,3.720586123611455605e+03
-3.159629469360022085e+03,1.587247563195612656e+03
-3.335164439880004920e+03,5.205512482716529803e+02
-3.481443581980009640e+03,-1.079489881460066727e+03
-3.481443581979998726e+03,-2.146215271560129167e+03
-3.481443581979998726e+03,-2.146286273066820740e+03
-3.481443581979998726e+03,-1.613028671749683326e+03
-3.481443581979998726e+03,-2.679765998504751678e+03
-3.655515761078981541e+03,-3.213181413967479784e+03
-3.655515761079003369e+03,-2.146602177446484347e+03
-3.510699410399998669e+03,-4.813342635169813548e+03
-3.168406217885994010e+03,-2.680113805413248429e+03
-2.548182655382003304e+03,-2.680192682391252674e+03
-2.365333727757009456e+03,-3.746941441703206237e+03
1.814153920324200590e+04,-2.680402816553812499e+03
1.234010842755600424e+04,-1.389414895897899882e+01
9.838735097646002032e+03,2.119311638507097541e+03
9.332609265980014243e+03,3.719208396670559978e+03
9.413062794134981232e+03,4.252479651037831900e+03
8.215036620336013584e+03,4.252403108071055613e+03
7.493880449783008771e+03,3.718990541474172460e+03
-5.266049115600037567e+02,5.318938929197214748e+03
-2.808559528320012305e+03,2.118941214297286024e+03
-3.510699410399998669e+03,2.652242862516020068e+03
-3.686234380919992418e+03,5.188878266686153893e+02
-3.829587940177986184e+03,-1.081157585992450777e+03
-3.655515761079003369e+03,-1.081220814169456617e+03
-3.481443581979998726e+03,-3.747950315239652355e+03
-3.655515761078992455e+03,-1.614712473854614700e+03
-3.655515761079014737e+03,-3.214786685593898255e+03
-3.686234380920003332e+03,-2.148214417799944385e+03
-3.218141126199997871e+03,-4.281629047052124406e+03
-2.927045633420999366e+03,-2.148401129333054541e+03
1.413056512685999769e+04,-3.748495080777396197e+03
1.347669736167299561e+04,-1.081998390141980281e+03
1.050576798562200020e+04,1.584523846003613471e+03
8.993241656307993253e+03,3.184408463157413735e+03
8.899623005364001074e+03,3.184310552390400517e+03
8.728476409107006475e+03,4.250880158832786037e+03
8.457859996221997790e+03,4.250796890097499272e+03
7.934180667503982477e+03,3.717381214899713996e+03
3.286892322986992895e+03,4.783980356426628532e+03
-2.984094498840006054e+03,4.250643826050885764e+03
-3.335164439879993552e+03,2.117302151515943024e+03
-3.510699410399998669e+03,-5.493995823203011923e+02
-3.686234380920014701e+03,5.172012069488891939e+02
-3.655515761078992455e+03,-1.082850862762571978e+03
-3.655515761078992455e+03,-2.682920564293638108e+03
-3.861769351439974798e+03,-2.683010660887320682e+03
-3.422931925139998384e+03,-3.216429042778153871e+03
-2.700312963165996734e+03,-3.216524258087237286e+03
5.757547033056000146e+03,-2.149956866890876427e+03
1.498776089956600845e+04,-2.150096793955239264e+03
1.041361212609900031e+04,1.583076260033253675e+03
9.083934724409999035e+03,3.182958915402682578e+03
8.653874046636005005e+03,1.049526335840590718e+03
8.386183216592986355e+03,4.249400268351711929e+03
7.635771217619998424e+03,3.715981031443076972e+03
8.285250608544003626e+03,3.715893979955840678e+03
6.531363694764998399e+03,4.782475524514308745e+03
2.129824308975987151e+03,3.715790671090371234e+03
-2.633024557799996273e+03,2.649104066999289444e+03
-3.335164439880004920e+03,1.049073267740284564e+03
-3.510699410399998669e+03,2.115694743505903261e+03
-3.655515761079003369e+03,-1.084340502593461906e+03
-3.655515761078992455e+03,-2.151080646427998090e+03
-3.481443581979998726e+03,-3.751166956170492085e+03
-3.481443581979998726e+03,-2.151272123506879780e+03
-3.686234380920003332e+03,-3.751344127113774903e+03
-3.440485422192013630e+03,-2.684785589586265814e+03
-2.662280386219990305e+03,-3.218214082940429762e+03
1.029512602099799551e+04,-2.684988946860735268e+03
1.307442972089800423e+04,-2.151815755027009800e+03
1.000549331963999612e+04,1.581352675820564855e+03
8.653874046635983177e+03,5.145643408489534067e+02
8.557329812850000962e+03,3.714429251190082141e+03
8.043890024078987153e+03,3.180998631041024964e+03
