# measured, modeled
8.215036620335980842e+03,1.374565576475903072e+04
7.466087412784004300e+03,8.479156071574157977e+03
7.872743427821992555e+03,8.272657304123611539e+03
6.845863850279996768e+03,7.838469740375367110e+03
7.144273300163993554e+03,7.179600546422108891e+03
4.863781474824986617e+03,3.924223255304124905e+03
-2.808559528320000936e+03,-7.930157056786192697e+02
-3.335164439880015834e+03,-2.956928954607137712e+03
-3.686234380920014701e+03,-3.713465026304693311e+03
-3.829587940177986184e+03,-4.139698320518349647e+03
-3.829587940178008466e+03,-4.397748961215969757e+03
-4.003660119277002195e+03,-4.548283439962899138e+03
-3.829587940177997552e+03,-4.476675287101657887e+03
-4.003660119276991281e+03,-4.428255472465287312e+03
-4.003660119277013564e+03,-4.393556704358066781e+03
-3.686234380919981049e+03,-4.340118254746230377e+03
-3.498997079032021702e+03,-4.225394477701462165e+03
-2.918268884894997427e+03,-1.973814552855539660e+03
5.757547033056000146e+03,5.654906686232454376e+03
1.406035113865200401e+04,1.159359761235426413e+04
1.015762362742399455e+04,9.886427907150893589e+03
8.411050670750002610e+03,8.755228969984360447e+03
8.386183216592997269e+03,8.539512632259640668e+03
8.043890024078998067e+03,8.138959291567982291e+03
7.359303639051000573e+03,7.885027880373549124e+03
7.530450235307994262e+03,7.787881812947322032e+03
7.422203670154000974e+03,7.420344495779965655e+03
6.307556607351994899e+03,6.212475090877451294e+03
2.862682810896984392e+03,2.429514627995617047e+03
-3.159629469359999803e+03,-1.990662687215197366e+03
-3.861769351440019818e+03,-3.542030208880816645e+03
-3.829587940178008466e+03,-4.092726576364228094e+03
-4.003660119277002195e+03,-4.516061374847013212e+03
-4.003660119277024478e+03,-4.677616405331187707e+03
-4.177732298376006838e+03,-4.701084577787434682e+03
-4.003660119277002195e+03,-4.761913866310882440e+03
-3.765225117654008045e+03,-4.581097050799464341e+03
-2.799782779793992631e+03,-3.628530719898939424e+03
-1.509600746472002356e+03,2.267336193239563727e+03
1.627794293288799963e+04,1.052482434843378724e+04
9.993790988271988681e+03,9.863280177186665242e+03
9.252155737825003598e+03,8.726228747436558479e+03
7.635771217619987510e+03,8.061471924863988534e+03
