# measured, modeled
8.215036620335980842e+03,8.894799555485061546e+02
7.466087412784004300e+03,2.968067702008585798e+02
7.872743427821992555e+03,1.333742475972868078e+03
6.845863850279996768e+03,5.929455093565143216e+02
7.144273300163993554e+03,1.481740518481241224e+03
4.863781474824986617e+03,1.037289208350916397e+03
-2.808559528320000936e+03,7.410016990883819972e+02
-3.335164439880015834e+03,4.447007110253163660e+02
-3.686234380920014701e+03,2.965309054443362129e+02
-3.829587940177986184e+03,2.078405103879923388e-01
-3.829587940178008466e+03,-5.924230794822085500e+02
-4.003660119277002195e+03,-4.443422022329186234e+02
-3.829587940177997552e+03,-8.888449822858447078e+02
-4.003660119276991281e+03,-1.185216666288028136e+03
-4.003660119277013564e+03,-8.890092936141816153e+02
-3.686234380919981049e+03,-1.037230856797577871e+03
-3.498997079032021702e+03,-8.891646402576392347e+02
-2.918268884894997427e+03,-1.185537391303575305e+03
5.757547033056000146e+03,-8.893349846005457948e+02
1.406035113865200401e+04,-1.185781517191423745e+03
1.015762362742399455e+04,2.955130765147022771e+02
8.411050670750002610e+03,7.398443558805294060e+02
8.386183216592997269e+03,2.953071676779752579e+02
8.043890024078998067e+03,1.184081132489500760e+03
7.359303639051000573e+03,4.432681988273301386e+02
7.530450235307994262e+03,1.332046123791869604e+03
7.422203670154000974e+03,1.035685785466043399e+03
6.307556607351994899e+03,1.035610710705786232e+03
2.862682810896984392e+03,1.035582743394115369e+03
-3.159629469359999803e+03,7.393019450049209809e+02
-3.861769351440019818e+03,4.430069029864509389e+02
-3.829587940178008466e+03,-1.496044669910819778e+02
-4.003660119277002195e+03,-2.978015303231917983e+02
-4.003660119277024478e+03,-5.941535170283074194e+02
-4.177732298376006838e+03,-4.460739236877640224e+02
-4.003660119277002195e+03,-8.905780068805754581e+02
-3.765225117654008045e+03,-1.186955828388556711e+03
-2.799782779793992631e+03,-1.038905079962615901e+03
-1.509600746472002356e+03,-1.187148484879556690e+03
1.627794293288799963e+04,-4.465570361565003168e+02
9.993790988271988681e+03,-2.985640268874828962e+02
9.252155737825003598e+03,2.938749324416498325e+02
7.635771217619987510e+03,8.863522544131058112e+02
7.975138827291996677e+03,7.381217552100212060e+02
7.872743427821992555e+03,7.380270645768329132e+02
7.359303639050989659e+03,1.182376055447690760e+03
7.249594282475995897e+03,8.860069067889629650e+02
6.541603234712000813e+03,1.182217563720945918e+03
1.913331178668003304e+03,5.895978057335139511e+02
-2.984094498840006054e+03,7.377323570889712983e+02
-3.861769351439997081e+03,4.414338375818073814e+02
-3.861769351440008450e+03,-1.511749073314238387e+02
-3.829587940177997552e+03,-4.475198525333802309e+02
-3.829587940177997552e+03,-2.994400374123829351e+02
-4.003660119277002195e+03,-5.957977567401979968e+02
