Timestamp,LL1_LL_SpcTemp,LL1_LL_SpcHumid,RadPanelNorthOvrd,RadPnlCentralOvrd,RadPnlSouthOvrd,Average_valve,RadPnlHtVlvOvrd,RadPnlCoolVlvOvrd,LL1_LL_SpcSetpt,LL1_SA_Temp,AC_P_8Global_OA_RH___,LL1_fac_FacSpaceTemp,OA_Temp,OperationStatus,RadPnlLpFlow_gal_min_,PCBCoolingCapacity_kW_,RadPnlSupWtrTemp__F_,RadPnlRetWtrTemp__F_,RadPnl_Pmp_VFD_OUTPUTSPEED_rpm_,RadPnl_Pmp_VFD_OUTPUTVOLT_V_,RadPnlLpPress_psi_,AC_P_8Duct_OA_Temp,return_supply_F_DuringCooling,return_supply_F_,CoolingCapacityOnlyWhenSupplyWaterTemperature_SpaceTemperature_
1/1/2021 0:00,73.16666667,15.275,70.925,40.775,70.775,60.825,0.5,23.10833333,24.33333333,53.91666667,90.8,43.83333333,29.60833333,11.175,11.175,2.8760816,77.375,78.95833333,546.0833333,90.41666667,4.375,29.60833333,1.3,1.583333333,2.707065433
1/1/2021 1:00,72.95,15.6,64.225,34.1,64.1,54.14166667,0.416666667,33.00833333,24.33333333,54.5,89.24166667,43.025,30.18333333,19.63333333,19.63333333,-10.2365221,106.4833333,101.5333333,988.0416667,217.0833333,9.775,30.18333333,0.908333333,-4.95,4.615666767
1/1/2021 2:00,72.98333333,15.675,85.725,72.78333333,85.725,81.41111111,0.091666667,50.275,24.33333333,55.30833333,86.6,42.38333333,32.65833333,30.9,30.9,2.4389582,75.05,75.6,1084.375,265.625,4.608333333,32.65833333,1.208333333,0.55,7.023750533
1/1/2021 3:00,73.26666667,15.96666667,65.25833333,35.25833333,65.25833333,55.25833333,0,33.3,24.33333333,54.21666667,85.65833333,41.71666667,31.70833333,12.20833333,12.20833333,2.318999433,77.61666667,79.15,667.1666667,118.4166667,5.25,31.70833333,1.591666667,1.533333333,2.708895933
1/1/2021 4:00,72.58333333,16.66666667,68.025,38.025,68.025,58.025,0.316666667,8.333333333,24.33333333,55.025,85.86666667,42.58333333,33.48333333,8.4,8.4,-0.216975267,79.275,79.11666667,500.5,75.95833333,2.925,33.48333333,0,-0.158333333,0
1/1/2021 5:00,72.66666667,17.21666667,59.075,29.075,59.075,49.075,1.133333333,20.79166667,24.33333333,54.20833333,89.3,43.775,32.65,9.783333333,9.783333333,-0.542804267,77.85,76.95,729.2083333,128.625,6.683333333,32.65,0.891666667,-0.9,1.436332333
1/1/2021 6:00,73.25833333,17.68333333,65.725,35.725,65.725,55.725,0.425,24.85833333,24.33333333,54.11666667,91.40833333,45.475,32.74166667,11.8,11.8,1.933984267,76.575,77.75,747.6666667,133.875,5.875,32.74166667,1.25,1.175,2.5729508
1/1/2021 7:00,73.2,18.61666667,72.38333333,43.275,72.38333333,62.68055556,1.033333333,32.55833333,24.33333333,54.79166667,91.41666667,45.56666667,34.85833333,24.20833333,24.20833333,-8.792013533,105.8416667,102.0333333,1297.375,301.0416667,8.816666667,34.85833333,1.225,-3.808333333,5.934236933
1/1/2021 8:00,72.69166667,19.30833333,81.525,63.24166667,81.59166667,75.45277778,0.233333333,37.9,24.33333333,54.425,91.43333333,45.88333333,34.69166667,30.39166667,30.39166667,-17.47053607,97.21666667,88.85833333,1088.375,261.9166667,7.358333333,34.69166667,0.3,-8.358333333,1.6957752
1/1/2021 9:00,73.83333333,19.3,88.68333333,75.45,88.65,84.26111111,0.033333333,69.56666667,24.33333333,54.10833333,91.425,46.64166667,34.8,33.175,33.175,11.89263647,83.53333333,86.075,1412.875,352.0833333,6.591666667,34.8,1.583333333,2.541666667,8.6824276
1/1/2021 10:00,73.30833333,20.36666667,72.74166667,48.5,72.63333333,64.625,0.233333333,39.10833333,24.33333333,54.08333333,91.40833333,48.00833333,34.58333333,25.41666667,25.41666667,-10.32999963,105.8416667,99.925,1304.625,301.0833333,8.575,34.58333333,1.25,-5.916666667,6.636904867
1/1/2021 11:00,72.71666667,21.15833333,82.70833333,72.14166667,82.79166667,79.21388889,0.125,44.75833333,24.33333333,53.99166667,91.43333333,48.55833333,34.73333333,27.88333333,27.88333333,2.2339422,75.56666667,76.01666667,1091.708333,269.2916667,4.175,34.73333333,1.316666667,0.45,7.553497233
1/1/2021 12:00,73.375,21.23333333,67.20833333,37.35833333,67.35833333,57.30833333,0.033333333,49.71666667,24.33333333,54.60833333,91.45833333,48.975,35.475,17.99166667,17.99166667,3.188242867,76.14166667,77.44166667,1070.708333,221.625,6.808333333,35.475,0.966666667,1.3,3.692240533
1/1/2021 13:00,73.44166667,21.69166667,73.69166667,47.94166667,73.2,64.94444444,0.65,40,24.33333333,55.34166667,91.475,49.66666667,36.48333333,24.15833333,24.15833333,-7.856383967,106.3416667,100.6583333,1047.166667,242.5833333,8.683333333,36.48333333,1.008333333,-5.683333333,5.739959867
1/1/2021 14:00,72.675,22.25,82.71666667,71.21666667,82.71666667,78.88333333,0,44.025,24.33333333,55.2,91.45833333,50.31666667,36.81666667,26.95833333,26.95833333,0.151687433,76.64166667,76.74166667,998.375,244.3333333,4.041666667,36.81666667,0.1,0.1,0.5703838
1/1/2021 15:00,73.28333333,22.45,65.74166667,35.74166667,65.76666667,55.75,7.891666667,28.21666667,24.33333333,54.69166667,91.46666667,50.3,36.66666667,17.41666667,17.41666667,4.950160133,71.75,72.90833333,925.1666667,201.5416667,7.083333333,36.66666667,1.891666667,1.158333333,5.7349565
