# measured, modeled
8.215036620335980842e+03,1.680301241468278749e+04
7.466087412784004300e+03,8.152006241550669074e+03
7.872743427821992555e+03,7.930044782544544432e+03
6.845863850279996768e+03,7.341626075296488125e+03
7.144273300163993554e+03,6.713730115349520929e+03
4.863781474824986617e+03,3.154753704701201059e+03
-0.000000000000000000e+00,-2.221027791272572358e+03
-0.000000000000000000e+00,-4.098970781149691902e+03
-3.686234380920014701e+03,-4.358967267655876640e+03
-3.829587940177986184e+03,-4.469121610870919540e+03
-3.829587940178008466e+03,-4.501742158973669575e+03
-4.003660119277002195e+03,-4.516702824610867538e+03
-3.829587940177997552e+03,-4.293144272026293038e+03
-4.003660119276991281e+03,-4.159086487815715373e+03
-4.003660119277013564e+03,-4.065617843794178043e+03
-3.686234380919981049e+03,-3.976919771633693017e+03
-3.498997079032021702e+03,-3.814335477305910899e+03
-2.918268884894997427e+03,-1.547808798364771064e+03
5.757547033056000146e+03,7.038135175602918025e+03
1.406035113865200401e+04,1.377963900915677368e+04
1.015762362742399455e+04,1.039663089957371994e+04
8.411050670750002610e+03,8.568151573719325825e+03
8.386183216592997269e+03,8.271903770509277820e+03
8.043890024078998067e+03,7.749848537945741555e+03
7.359303639051000573e+03,7.414069757927063620e+03
7.530450235307994262e+03,7.334883484506295645e+03
7.422203670154000974e+03,6.894059662435058272e+03
6.307556607351994899e+03,5.651515689220352215e+03
2.862682810896984392e+03,1.493885028201679233e+03
-0.000000000000000000e+00,-3.454355466763030563e+03
-0.000000000000000000e+00,-4.545987637349477154e+03
-3.829587940178008466e+03,-4.606457548284895893e+03
-4.003660119277002195e+03,-4.760193127453530906e+03
-4.003660119277024478e+03,-4.719361848692802596e+03
-4.177732298376006838e+03,-4.562965449544572039e+03
-4.003660119277002195e+03,-4.545988922942065983e+03
-3.765225117654008045e+03,-4.257650879552078550e+03
-2.799782779793992631e+03,-3.215902633791316475e+03
-1.509600746472002356e+03,3.016138277546036988e+03
1.627794293288799963e+04,1.297412528288520116e+04
9.993790988271988681e+03,1.073885545493059908e+04
9.252155737825003598e+03,8.796829143758004648e+03
7.635771217619987510e+03,7.797520371018516016e+03
7.975138827291996677e+03,7.747834534059467842e+03
7.872743427821992555e+03,7.459425513327485532e+03
7.359303639050989659e+03,6.941215063092982746e+03
7.249594282475995897e+03,6.755167123482970055e+03
6.541603234712000813e+03,5.525110369678790448e+03
1.913331178668003304e+03,1.071865276068521780e+03
-0.000000000000000000e+00,-3.754309907139046118e+03
-0.000000000000000000e+00,-4.614888071164183202e+03
-3.861769351440008450e+03,-4.729784264416892256e+03
-3.829587940177997552e+03,-4.723283285081342910e+03
-3.829587940177997552e+03,-4.514501048470483511e+03
-4.003660119277002195e+03,-4.462072764128693962e+03
-4.003660119277002195e+03,-4.429614632588069071e+03
-4.037304321959990830e+03,-4.254204726377858606e+03
-3.437559839350000857e+03,-3.717395925479388097e+03
-3.139150389466005890e+03,1.169933100603520870e+03
1.566064495322599578e+04,1.173824865739780944e+04
1.087877979797699481e+04,1.177707512371450139e+04
9.004943987676000688e+03,8.860113375533896033e+03
7.872743427822004378e+03,7.843626493502888479e+03
8.043890024078998067e+03,7.807260988165828167e+03
7.701596831564998865e+03,7.429556258641387103e+03
7.188157042793995060e+03,6.987144740245727007e+03
7.359303639051000573e+03,6.866610368367604678e+03
6.560619523185003345e+03,6.180329629294821643e+03
5.002746659819999877e+03,3.364138734670035774e+03
-0.000000000000000000e+00,-2.073300176237942651e+03
-0.000000000000000000e+00,-4.379681866421859013e+03
-3.686234380920003332e+03,-4.396884166616597213e+03
-4.037304321960002198e+03,-4.636032680598662409e+03
-4.177732298376006838e+03,-4.730644352568793693e+03
-4.177732298375985010e+03,-4.572194365977229609e+03
-4.003660119277002195e+03,-4.381690699258790119e+03
-4.037304321960013567e+03,-4.325223216581631277e+03
-3.768150700496001718e+03,-4.199208335756731685e+03
-3.229843457568007580e+03,-1.387048096290767717e+03
8.109715638024008513e+03,7.576129302901084884e+03
1.323387398578699867e+04,1.306806689212888887e+04
8.925953250942011437e+03,9.308718425007013138e+03
8.653874046635994091e+03,8.350696950970494072e+03
7.872743427822004378e+03,7.672115005690997350e+03
7.359303639051000573e+03,7.408748798130720388e+03
7.530450235307994262e+03,7.267739185497353901e+03
6.845863850280007682e+03,6.797129844248556765e+03
6.904375507120008479e+03,6.624397700950023136e+03
6.845863850279996768e+03,6.506414213172058226e+03
5.912602923682001347e+03,5.997682578361200285e+03
6.611817222920008135e+03,5.938301671565161087e+03
6.617668388603990934e+03,6.010218077667959733e+03
6.278300778931992681e+03,5.896121976813476067e+03
6.161277465252010188e+03,5.265393035264540231e+03
2.959227044683017084e+03,2.135083717623885605e+03
-0.000000000000000000e+00,-2.948602521097476711e+03
-0.000000000000000000e+00,-4.491844374842978141e+03
-3.861769351439997081e+03,-4.584483929871836153e+03
-4.037304321960002198e+03,-4.618809806563294842e+03
-4.003660119276991281e+03,-4.657878996909275884e+03
-4.177732298376018662e+03,-4.651208880171892815e+03
-4.177732298376006838e+03,-4.462902023568880395e+03
-4.142625304272018184e+03,-4.359644055637611018e+03
-4.177732298375995924e+03,-4.297017299402694334e+03
-4.177732298375995924e+03,-4.112618901293528324e+03
-4.142625304271996356e+03,-3.919425950695294887e+03
-4.177732298376006838e+03,-3.789920523465880251e+03
-4.003660119276979913e+03,-3.688132588181048050e+03
-3.829587940178008466e+03,-3.634546476063092996e+03
-2.962152627524985746e+03,-2.576002827152857208e+03
-1.228744793639995578e+03,3.704534061272752297e+03
1.643446161493500404e+04,1.363802576678353944e+04
1.048528890572799355e+04,1.131602381499545299e+04
8.411050670749991696e+03,8.843243314770123106e+03
8.386183216592997269e+03,8.536766299610972055e+03
8.043890024079008981e+03,7.964484252379959798e+03
7.359303639051000573e+03,7.434050170749789686e+03
7.594813057831995138e+03,7.061391847601888003e+03
5.371370097911999437e+03,3.909105540843404015e+03
-0.000000000000000000e+00,-1.790309052977027022e+03
-0.000000000000000000e+00,-3.887932464339886792e+03
-3.686234380919992418e+03,-4.215128886662787409e+03
-3.829587940178008466e+03,-4.308954122976821964e+03
-4.003660119277024478e+03,-4.380134232084630639e+03
-4.003660119276991281e+03,-4.351232924372670823e+03
-4.003660119276991281e+03,-4.217731567409995478e+03
-3.829587940178008466e+03,-4.059445734005232225e+03
-3.829587940177997552e+03,-3.919754008711533970e+03
-3.829587940178008466e+03,-3.766774992548882437e+03
-3.686234380919981049e+03,-3.698735773600368702e+03
-3.194736463464004828e+03,-3.602705452131762286e+03
-2.223442959920003432e+03,-3.122829081147872785e+03
-3.829587940177993460e+03,2.899044291771264398e+03
1.719072477959200114e+04,1.348597189731721301e+04
1.045895866014999774e+04,1.154363328085376997e+04
9.338460431663997952e+03,9.467456132695559063e+03
8.314506436963994929e+03,8.366444965712100384e+03
7.872743427821981641e+03,8.001745239275653148e+03
